Branch,barcode,Product Category,Name,Unit of Measure,May,quantity,Rate,Amount,Zero Check,KIT items,Actual ID,conversion,Actual Qty
Badar,225389530669,Pantry,TSFC - Coconut Oil (300gm),Units,0,0,1120,0,0,#N/A,#N/A,#N/A,#N/A
Badar,225389530249,Pantry,TSFC - Cold Pressed Amla Oil (120g),Units,3,0,800,0,3,#N/A,#N/A,#N/A,#N/A
Badar,1712,Pantry,TSFC - Cold Pressed Argan Oil (30ml),Units,3,0,1400,0,3,#N/A,#N/A,#N/A,#N/A
Badar,225389530348,Pantry,TSFC - Cranberry & Almond Granola (300g),Units,1,0,1160,0,1,#N/A,#N/A,#N/A,#N/A
Badar,1725,Pantry,TSFC - Eucalyptus Oil (10ml),Units,0,0,440,0,0,#N/A,#N/A,#N/A,#N/A
Badar,225389530409,Pantry,TSFC - Fig & Walnut (300g),Units,1,0,1000,0,1,#N/A,#N/A,#N/A,#N/A
Badar,001670,Pantry,TSFC - Flax Seed Oil (300g),Units,0,3,1276.2,3828.6,3,#N/A,#N/A,#N/A,#N/A
Badar,225389530225,Pantry,TSFC - Granola Classic (300g),Units,0,0,1000,0,0,#N/A,#N/A,#N/A,#N/A
Badar,225389530614,Pantry,TSFC - Marmalade 200g,Units,1,0,520,0,1,#N/A,#N/A,#N/A,#N/A
Badar,225389530560,Tea & Coffee,TSFC - Masala Chai 100g,Units,0,0,760,0,0,#N/A,#N/A,#N/A,#N/A
Badar,225389530133,Tea & Coffee,TSFC - Matcha Tea (80g),Units,0,0,2560,0,0,#N/A,#N/A,#N/A,#N/A
Badar,225389530171,Honey,TSFC - Millefiori Honey,Units,0,2,960,1920,2,#N/A,#N/A,#N/A,#N/A
Badar,001185,Tea & Coffee,TSFC - Mothers Tea,Units,0,0,560,0,0,#N/A,#N/A,#N/A,#N/A
Badar,225389530041,Pantry,TSFC - Olive Oil (300g),Units,1,1,1876,1876,2,#N/A,#N/A,#N/A,#N/A
Badar,225389530232,Pantry,TSFC - Onion Oil (120gm),Units,2,0,1174.74,0,2,#N/A,#N/A,#N/A,#N/A
Badar,1412,Honey,TSFC - Orange Blossom Honey (485g),Units,0,0,1080,0,0,#N/A,#N/A,#N/A,#N/A
Badar,225389530720,Pantry,TSFC - Panjeeri (200gm),Units,1,0,1040,0,1,#N/A,#N/A,#N/A,#N/A
Badar,225389530430,Pantry,TSFC - Peanut Butter,Units,1,0,920,0,1,#N/A,#N/A,#N/A,#N/A
Badar,225389530287,Tea & Coffee,TSFC - Red Hibiscus (50g),Units,3,2,760,1520,5,#N/A,#N/A,#N/A,#N/A
Badar,225389530904,Pantry,TSFC - Reishi Mushroom Powder (80g),Units,0,0,2080,0,0,#N/A,#N/A,#N/A,#N/A
Badar,225389530744,Pantry,TSFC - Rosemary Essential Oil (10ml),Units,0,0,600,0,0,#N/A,#N/A,#N/A,#N/A
Badar,001027,Pantry,TSFC - Seed Mix (200g),Units,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A
Badar,225389530256,Pantry,TSFC - Sesame Oil,Units,3,3,933.75,2801.25,6,#N/A,#N/A,#N/A,#N/A
Badar,225389530928,Pantry,TSFC - Spriulina Powder (80g),Units,0,0,2000,0,0,#N/A,#N/A,#N/A,#N/A
Badar,225389530621,Pantry,TSFC - Strawberry Chia Jam 200g,Units,0,0,905.26,0,0,#N/A,#N/A,#N/A,#N/A
Badar,225389530881,Pantry,TSFC - Strawberry Chia Jam Sugar Free (200g),Units,0,0,1040,0,0,#N/A,#N/A,#N/A,#N/A
Badar,2134,Pantry,TSFC - Tomato Ketchup 180g,Units,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A
